Encrypted ID,Activity Type,Predicted Activity Type,Integrity_MAC
gAAAAABpJVLcjAYTr8QE8bZzANdioqZUm45vwQOzOL1zBAtYrCvloopBpEIX0SxMZUfHFJ64oCmwdVrOyJN35SkBkYWsgfzrng==,Walk,Walk,679e386ed6017ad60ba79078753f6c6e8425f77fa32201a634744ae118cc2aa6
gAAAAABpJVLcKGAJHm2jpmRBAnZSrEk4MwzSv-W-GY7-tY9N6sltXj0z0auUj9AfGDWFimjt53KZrvePAK5phf0aonE4-iD83A==,Walk,Walk,52f88301c639c813dd2bdf4591982426c63e4ff251dcaabfc005a0d38590174a
gAAAAABpJVLcFD8zkJoAy_LlRBCH_fjuRHyaAJRjM43deKaQNpHN2lVKQebeHuMjaUuGzXjJpasZMqME3XfePLl4zAiY3RvF3A==,Walk,Walk,d45cadeae060762ef867cded1317fbddf5caefba0da50048f7416e71bdd6e491
gAAAAABpJVLcENSWCLcTgioNHSJeTf9tDyzcAJTj4XSa8FW67t7pP0AL4F22WdEZ0p5EBe4dFdcT80z-MYlLvAPW4u9SJNSxHA==,Walk,Walk,fcf279ebbfc607f73b024f9e7ebc6e342bb5d502cc2f5001dd4f550cf20e6298
gAAAAABpJVLcq9POUvS9o4D12tN09WPMG97Z6_oa2T6DDnLRhSqUBaDVpdFEYubWhu8BzryrlnRVw25La2Dgxgh1wvi1AxgUsA==,Walk,Walk,92cab75d32e1b2574057377b83fcd10cb52486b3fabf4e6ee1349f4b72989f3f
gAAAAABpJVLc9knSYK0v2QVTu_1dPt1SjVWKN9Y1_G0UICkn9B84fkXFdTh76yAHne-RyRaVnPm-QxDZe_YUZV7AWXeWhGYwKQ==,Walk,Walk,7bebea109571f3cedb6beac566208cc46326389a4cc8cd0b206c59110332c318
gAAAAABpJVLceVSBVhv0RtgXxZkkrNjzj5XRl7nEetKqSSkby_MJznkzQB_hepeqK_-GyCTo_8ywdYZmT0kJhqVRVvcNCYOn4A==,Walk,Walk,704cb9785a3cbdab3b97363cad8b2146a0021a99a9715cbac041fdeb241d7f79
gAAAAABpJVLcup1TnA8v7V5Rs0OgCQj7XaFWaBbPYPl7fsC38svLhf_iBk5S-z2QHYvRaebLdFabf4yRtV3qO8tLuMTX8jfPQQ==,Walk,Walk,70633974169e848ef5fd605c12982bb7ae25e0ac2431639bb21a8eb78f8e5687
gAAAAABpJVLcdFtFkjwMdXsEnV7UYJ7c3vvV-kYqxCTGa8r0obxzpUfmDz4SqqOyDNTxoOXTOZUGtQ1T7o3yxyudvUkwNMD0mQ==,Walk,Walk,f7304a1068b952ff41766909607f039efdb4bc0b783341deb1e56149409522c9
gAAAAABpJVLc1Q6Jl08zxHGsndzzp2QQCNFUnHVpg1V_nTCjVkZl_SUS1cv-gIpWRX6kUczFjFySpzmnx0fk786BXwrC1L8aSg==,Walk,Walk,cb156648b7e144a005e10f0620852c0659af08b63ea92bb0ceb5f3872ffaf7c3
gAAAAABpJVLciucUCyBJBHPgWhDNtoSmtj8Gmz89NkSnAtCkcDEuNrGaVo9dMC1MWoJudKaumwGYh9XqoQ9l4ieZxesLe1i2tg==,Walk,Walk,dbc7215b35664392922ef5f9dc6bd6abd1edd49e330f9dc6709f1c2ecc8bdd3d
gAAAAABpJVLcqA3aG_eY45joK9ESxPfmgSp4Em9ioVh8Cqc7-wiNp4WPkJOX7GglDPMhjjyWDtzz1hF4vlJ7hcO-7UyyFr9hFA==,Walk,Walk,1486d0c9d4823871eb4d13aecfc6cb41f355f07aa202e2bcce1b2ad50f4b86fa
