Encrypted ID,Activity Type,Predicted Activity Type,Integrity_MAC
b'gAAAAABpHijlHjtfLfqL5ussv3atUDgS5m0nJ8y4sT_rggGj__Pa7MhaUdizPZF_bTFPFvM4_67EfARMI8t5CUJYyv4vu3MLug==',Workout,Workout,eb050c8dc4a74c83b9f311b443395bd253d25e0b14e35101007d33a16ff7e71a
b'gAAAAABpHijl0y7_oE8rLchMDU8B0AFItDj-kTS_9zeaYrzWferHEqs8YThpL2lbAExDp-eiigSi2YAX5riHc4Fs5Xj5tQcesw==',Walk,Walk,3edfb53b26e6398d1b694aae47d45fcfa8919ec800c9976fdd1d5a0c45fbd85b
b'gAAAAABpHijlLm4wT8zUibnezUs-QkehFEXd-cXT4vmxaxeJPsUx6PRxmfNL_UBDPsVNRutRivxSzGPzPJ3637mwWUjso_BbiQ==',Walk,Walk,956c1c6f56506fd15df51a8517e7d9c75accc08126fda6e10096e96b701c9306
b'gAAAAABpHijlE_rLqrK5MRpTiQnk_74hL2USh27rUcvCv7hE2leu7GK46XULBdCzgQdpiuFB4ikggizMPbpwpmUR0J0D0duaWw==',Walk,Walk,03cbfc75080771d092472d21daf0dc8c327d472b812943f43e0f4ed3c3eba409
b'gAAAAABpHijlPUUoV5ShZW7GRRSce6yyxfdHnwiCO-YnAEFQdOkdSeenV8WwBIfbkNWSIOGvQQVI8SOrzDty7SbnkiWuU7UQVA==',Walk,Walk,bb1928cd6e78b2b7b3a83caf1dd008d42c6a28fbeaed9950cc440420f0a9de48
b'gAAAAABpHijlBl6bm2Xsoc3qQpmMCRz_YdNfDVromxw2_N9TvLQzuddfgh49EE9cOX8W1AiHSxuUwgXTOY32paPi22ZOhigEDg==',Walk,Workout,7e50d4579a357982b6db37273c20c949ef6cd657fe7644e8a7368acfea2e5517
b'gAAAAABpHijl2yLOjBBRYmAHmuh3YhpkHh7cDikKZulKNIgNpiQ6971rjHR6IFyPskPu5L1rxR-JC7KiaZzw5ZSMiSpZDtvidQ==',Walk,Walk,b727aa5ba7eef044fc53ce455f92491af867c1b108f8c1571058aac1345982cd
b'gAAAAABpHijlRw0xwB-DtT0QQr5JSlOPTfaaGro_tbJwSC8NEgnI9c2WWnPTc5jOedktfGHDQ-oRzLGD4YYeThQUfT2m-FXjDQ==',Walk,Walk,a023b0e5f4bba261d38f079771c2ed5a70a8abbc26fb0e528e44ce626311ba81
b'gAAAAABpHijlJeh6X6ToFYY-B0liRbKhwJKhq1cZVTaDK5nqZ5irhVYhSVp_fxOrbic_JG00xi929lwnkxMnrA4o8qgkUq2-2w==',Walk,Walk,1fda1fb120b9855988f7ab6327b46ea85a9d37d9e60ede33913f06c97bdb232a
b'gAAAAABpHijl_sGUbA4QSEsPsQ5WNU4Hp2vPk802d9RUEFJmIyFLjktUmVtMYYtvBEIDADPPZi_f7v5bE0PpPepPSoJ1dWw4dQ==',Walk,Walk,88ec0be1719fc31c44254900a365913fd1944b3aa0454e2e894a56b0dfc1bc72
b'gAAAAABpHijlKmdtqm8zp2VDWLRKRhEEA5m9DJZcwApzCrZr1lOp0Pyz8G_H7un-aQZbXgcQ6hyIk3dyPp4t695RuTmR8KXGog==',Walk,Walk,9c2195d2c8a42c53c2b6837a92a3c85177f908214cec5264ff414fe52d826b09
b'gAAAAABpHijlie_7nsZSZhUL_nO71Uuu4Y60gGcyBKpTcWl1BZlusv3psw-HqfJ5IVEjyudRpahjdeiScKsFOnOSK0QSlqC6mw==',Walk,Workout,5bbb2d3aeff28b75f5ccd7ae1660520df720099004f29b7e1d2393f10e3f7e0d
b'gAAAAABpHijl05CffQxNF-xXV4_-zEQP-nJkE9sjsgb0kIuYCahG4zGicvzzE85e99PBiKH7vgCtHZXhNGAyuvdixfjEZGH9kg==',Walk,Walk,b63e4474e97f4fe2f29aff31675b28ebcaed09742657d9acd028664348a65d87
b'gAAAAABpHijlorQ4oUI0f4Tx3QsOTHW97W2vzUkHkVcNgl7PF0FHEyZv8ziFxEKi_mUjfZ3885_uQNnlTZnLDyzg85kKNC3PQg==',Run,Workout,5760c795964573eb94ef2cc1dde5988a185748b317c8fcb4739aee668ff339b9
b'gAAAAABpHijla4Tv_6V4iJwMv3PrHUPO8RqU8vgcmLQh4orFAA9SDXYMX8vpiKqXyIJGmmoCcNp6iqDAazc9q8GEX9tNDLy1Mw==',Walk,Walk,10d15bbb1bfa87e15b1d41951c91c13395c5d0b1642a0e5676ea8b3b08df176c
b'gAAAAABpHijlPSbwl0VmBLF2V_LiG5dUA5h95nmFBdbElj1rOz33JHPhkg4zmAJjNkJTJNfxMmJyP8f02ngdHSUah9FhxnsQ6w==',Walk,Walk,7e3ca3d7d0c5803d6dae03c0ce500f574a7980103dae39abd3309ac93373b91b
b'gAAAAABpHijlFacTkEfGgnbAv7sEARiZXt2pOPoGBGpxX0nrELkP-xWl78s7qpR2byu9T0roakEkTSfzcGc5_3iB0Vhu9H4R0w==',Walk,Walk,2e9b1456b2a42e8f678265bd090df872a00ff73f1381bc53e6db1ddf98810914
b'gAAAAABpHijlt1-0cxAaepqEtly41SjRA8g_bbANe_vEkPe13OktNFXRUiKgxG3ZwPEuou__rXIu75Fp8Ak6re2KJ7Lsvj_z2A==',Walk,Walk,78b98d0b41da66ad8a2b0499e49198e9759f3930c6b0c70eb83a8d18ac36d8cd
b'gAAAAABpHijl7hXYcw-KUvLfucAIrLeSqaJGlgXiWTdg4OTTpl-vqRceZnt5SLCkQQyw2O66a2jZrQQP9ntO6fjs0l2Hru7ujw==',Walk,Walk,63459094d0c8fa0f575a2f187121ba8538e36e6b880b0bf9f5a40b9f641eab89
b'gAAAAABpHijls2f7q_99LEYxSzw_HzS98kWB4hqCISy-pCljmgNcBgn09FL53XmHEAPsqCo4PEfNeu7h3BD7A_a9Yr9ZIrMJvQ==',Walk,Walk,f15161850f53ad9f1dc2043cc04858d92f9ecc29d51d9e7ce14d1984ba461611
b'gAAAAABpHijl3emAk-FW1pyNJG6H8u79ilIGoBTkGhafBD2Y33KaoFjL8EL_BiWgkPfKqRHJKu6SJDTjSMzryS4W6B9dJM9raQ==',Walk,Walk,7e5f57e09a7be12339798163f4e0f2a65e619769af71023927f972f2b398ae70
b'gAAAAABpHijlh0jmBOJc9npMKIMUxvsNYygmXbA4woy0zrdyZtpQcJfu3e3OZVNXYXXGIhuswKiK4DJ-QefJBFHC3Ml4lXTPGg==',Walk,Walk,87f98c1efe373c39db8ee1aa52a987be6782cd51365f68bf2177374a4d4f3e3e
b'gAAAAABpHijlV6oYUMg4Mr6YUx7mft5xgs-wY4Jy2MmrfPL-vTGVFw2OV82lCoHIN4SPg_mOlGOdEHo3RrqtWeyC1cjxvOK0EA==',Walk,Walk,9b8728a90e1c9f5a8aab9ee308c8c989ac857b2590b7214908805def553d9da2
b'gAAAAABpHijlYglZXgSyEc_dfVqmsofkQW4HugtVQgjBvkFaV18Zo58pHWIgmbUT5ePJ1mCJnnQDH_Oh3Dh_BDfbuUqzrwyyIw==',Ride,Walk,8aea799fc85c73c82d5dd9be3c854fb48ad3fe65db16e2ac9ee194876ce6cf77
b'gAAAAABpHijlgjQrr3DLFRMDQHMDcn8zzutVAe4zIxoSugD3lPPesbWbB0HFffdIicPWmWU5RDQxarXrIfFRTdopEjt6QEP88Q==',Ride,Run,720bf86ddc446bef8267141a4222bd391ede37b80df543ae612d7d336d06e98d
b'gAAAAABpHijlpIohJC41u5ccsTrKJnU1OW9H1D6MD4VZ6WL15OuNVEiVdvfU_OVqQQhUzIbkenGnq9iZjQ4ZuS2GmB_evQPIYQ==',Walk,Run,6896a48d13a5af8c2074f07439489e0d6e21fa60b996f6bfc4c900b34bf282be
b'gAAAAABpHijlHWCG-kwQm6D45PaRV8MaPS02qs0mAQ35AvJSyd59jlvYBHckccC1QHanu4sL1WygV-Ds46SNgTf3Ma2fa4iRow==',Ride,Run,805954698f2f366818cd94cb33fc2be818b712b8e162ee044fcb01c1b36cd47b
b'gAAAAABpHijlGFwN0cL4rIzcVLZ6ICYj8Jp2y-SS2tnSxCmqT5WHQq91BO-kCIneSoidz2-k_SGETapJBtQj8qBLnmN2sv-z3Q==',Walk,Workout,e7fa7c2ec657ae8a5c0a72dcdfcf056261bea2f96ac12bbe39ab95b4980b3055
b'gAAAAABpHijlDR35caZj9WV7mG7kZTFfYis4AawtQB7GV_2v7SOayBrDNB7z2xVBi7vFRim4tFK7V60Z7vhknED-Cxrkfxq5jA==',Walk,Workout,279c7849247e32525c988688970e8ae98cceaeedb942530fd478aea12dd994a2
b'gAAAAABpHijlh8fX49GTWxdk8Czg9PdRXZjYO3dhO-_-7mEqYStvJLLnv4VxxO9p0-2nqW0bV8g7ZpMp0gKQFkWG1fxA6oKrnA==',Ride,Walk,01442bb73cce539929ed82986e630c1f6e60ca1acf6061d76ea62ce16d743c62
b'gAAAAABpHijl1_9Z6ETkmi01wZ4lXkAk7YCtV1Cv8tGvKpvWWlA48FF3kihWG0re88xMkIac92xooiNdKe1S05ypW7GJYF0ROw==',Walk,Workout,2c5385cc3acaeeb7f35371f9d7fb9ffd31ebd83b0f46e0d6107efe7d89cdd09a
b'gAAAAABpHijlx49sYLUWMYBys8Tq2HwOpzB7Po0xilysmH7IHbNFFe0Qv7Acd7ylQ-ZFYyeUjNy9NFUXeBLJ6ETr_6VU8V4yVQ==',Ride,Walk,90825d55d9645c6f325561c89fc6f55f82df8eb26c3a094d0eb5aa84a0a8aa39
b'gAAAAABpHijlLtEY8e3yvQKpjfcdHCb5RA1Bn3vn3Zk-F_wRzE3x42EIK1SAnB7vCenvHYXYH7O8itt7h8_B6v8ruz-UJ4mAlg==',Ride,Walk,001e4aa54e03ad35db39682d4687d7b0aab73b2b6d988553f89a744421830594
b'gAAAAABpHijlLbXb30mMhifXXv1v_tkWiIymOCKybi_Kws5k693n5UlDJV-MzdywB-aAc5z_HAThFQr2kMLXJEF7fr3YRnFiSg==',Ride,Walk,ecb9ba4834a4396528ac5be156ab8930e15a408567fa9a7579136f5fb609d852
b'gAAAAABpHijlhewbzdddinriAlcXrDmLAOl0ZEaNr-h20Vz2Yj-CISHp_3i0kZoq0TID_hanXnWdhx7KtMsirCGtq5B3NumYuA==',Walk,Walk,4236e5d6e440de8e50b5aac57a66b2bbcb59cb867bf572d1ab97b1756e50180f
b'gAAAAABpHijlySLGW-h-qyvkNxpxmUXrUT2cX5QDb8M3MeK275Tph3UBCDAoYA08QNUi9jelVk_lUGEML_jKeplVOewSNFcHjA==',Ride,Walk,56c8298aebfaa908f3e8e0c1ba646092bfffb78501d34d516d780f28df232998
b'gAAAAABpHijl2Nh6a5p7Q0H12uMRKeWBErXkpR7tZ7lCmrbzzZL4ApNMng4UzXvRuMX6gR24g3KP0rRTYxWGabC2O6kOH4Vckw==',Ride,Walk,0c4559f13351f6e2c00d689040317eb3dfddc5af70a566d6315ebe68d091d4cc
b'gAAAAABpHijlLRoQ6wFbZUheNKwhdFNhoHfhP8HT4gugL-orFLx97lsP9__q9oYgk89ml1twiMSMR0-8oCLtkCfj51xjiTOopg==',Walk,Workout,a74cd1ed2897f868700340ce5c9409a93f8a464a782244aacc1266ab2f6d3442
b'gAAAAABpHijlsNaPRhCOIchXTI841uDjW4UqJwdereKARbc215ophjlQoAE0yjkieI1ZGxZ8E6XjzZyR4s5l2NrqBc5jfHPExA==',Walk,Walk,730213181deb9f2fb6c2b35e4f44c1a07f1b4a9ad3fed9fd67d9cc62b295c042
b'gAAAAABpHijl1W2LHTA9ZrFDaF7SNUNcJNnVoyJqqeNd7m6QE4_i0aqExDr5SjrlSVIjIK3zjAgmkgZ_JwgbX-yQTsIKd7zg4Q==',Walk,Walk,b39086b4cdddc4667a28cb4e24bdfbd620407abc1848c20d450e040b79376eec
b'gAAAAABpHijlJPZADatnaa0JQRUTWWY-rwVHEzytBgOG1nDeYWplUwmzBFvbz620xx4TIwYOJ4rcp6iER5lveZguxxbvcZZXzQ==',Workout,Workout,800078ee82008a3c0681260313b726a9cf44ffe78651485359439e614f933584
b'gAAAAABpHijlisgIueDIXf9e2HJCOMlOPjtB9hSx5wtNwwN-DIr3J3XX0JfrxBHHkUMJ2UvlGFM2IxKUtrhfu0Q3ymE4tl5NPA==',Ride,Walk,5ec7a3a064e1a1bf42aee06da51a3579941921c3b117561cda8f5073c7ebedc4
b'gAAAAABpHijl6I0g1ZsyVVNnsFGd0VcKTTZvBpDXmvrgUefa_XxLfXZwtgSBNZXq1D-3wDAqZDxAPiV2C9pAq2XFsLfTYoEUPg==',Walk,Walk,7c6a09775acb645ca60492c6050737cda3c13da5db07c86040516d31d5574c49
