Encrypted ID,Activity Type,Predicted Activity Type,Integrity_MAC
gAAAAABpJIL1tpdAYZR4vRfLEzN0g5FmDwDIpzSQFgpBPssNeMVlnOFv3eJ7GHKb-sgBN6Ukzz54BIn69tij7hPOM9C3COVheg==,Workout,Workout,aa9517ea824c7aa377145379b21fe0a379864d58ada2fccbadf3c1ddefccb90f
gAAAAABpJIL1ViJTyt7CWIS0nOU6V40UOiy34b1sxFXzxl2n7BM9nkLvqa2A3ziRt60mo0vebXrOjeVhD6LbQXeny2d-POOx-w==,Walk,Walk,5e5f88a22bfa9c741ad6a89474759c1ad4a3a5166e509e3e1a17138cf4345fea
gAAAAABpJIL1PzfkQOQIVnvYrwkMglD23Ne4uC4Wz1aHKCwK8Iuxh4EusFDbO7aOaMpzft-KsqZOQXj1XC6VIFvPk7e1U2faAA==,Walk,Walk,e07cc08ab61f9da2bfa3687a6d8e9bf6fad788d21787c5f6167ce607aa71bd3f
gAAAAABpJIL1X2xyViaYmXZXdhrO1yUnfT1HMNQ6rOGAer8HFyO9ARO4LIWWxuM-rd_cfqa5e7LGuXzHT_XLMLZRyi4EzlV9QA==,Walk,Walk,8803d1b958fe1aa59bd66af8ba54c48bcbc6be1c3162c0455b85e5bb8a47e639
gAAAAABpJIL103hKNlXQmewHwkYylDsda7zRy209nXXpG_rL6znqIOSlxsd5XSbLUdgAOuRfev5c9rOp65AZAS5h3wTo_5di9g==,Walk,Walk,1d41bac2e60b5c24e7e2b03ebc135c4518e6172793466d57c98226972a5fd916
gAAAAABpJIL1A351SjjQyNr9dX2aasktCbKtY9dibWV1NFGUvZHFYw2cJaICkvqM0GDm3sfle4NMXdDbT-I-jL_w2mRUagMQEA==,Walk,Walk,8451821521d181c39e393171879ee7b3ef1b404b4f45b8bb09ffc49aa8f494d8
gAAAAABpJIL1MVsGtDe7rMN7D5E_sB3Ol5ks4ANIM0itDVKKiUYe0OrewQ05TcLcrIG7jTzWs_GdDvh69VtSfm74VCe8vFbSnQ==,Walk,Walk,bf612469a7f8bb8f7fee9443b1edbf125a577b988179d2eed73d72bb500288b2
gAAAAABpJIL1V-cECcKh39LgbtQ-WklFN3JyfNQ6SrUq_ZxOiOpqO4ARcW7WhZ0wrs790Nqd5VHjJJnGR4i7WJ8C2NQNMA9_Og==,Walk,Walk,3e6c24297b35b64f656c308cc46c0c00bd04eb44fac5401645267464cc655b6b
gAAAAABpJIL143QFTHWNHoW71WtgWbK2VUHSQiWcERAqASVYFLNf2nLWdQcNXGQ_3OzPiNf6Z4QoFZoK61mtfUjmpcuIQm9aMA==,Walk,Walk,76a6fc36de2c896db571a7f1b79f8b1b951975f3f762a0fb662efd5c4aa21d83
gAAAAABpJIL1qIxBkz6iDFSkTcEph5F-fjq6q0isw9JsEblvAD9XXowtyUw_yALDjE6HTpTmknS99_rfGwHzZIhpgwbZ3UsLbg==,Walk,Walk,64eb4510e656a7d319e3d2f27ae6a67a6c9ac7b1e29672a7df34c4fddddbe37c
gAAAAABpJIL1OtW72mBA1uEbV5lp46aij_c_uOPrvEvzDaCTnc0KKJ4nFkBzS86EIAyBqmFCSkrdAQP2fRIKgmikQ6obxjFfMA==,Walk,Walk,a49e8d4d1a858c428f045438836aa27696df8f472703ac951ac57eb2443882e9
