Activity ID,Activity Type,Elapsed Time,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Commute.1,Average Elapsed Speed,Month,Distance_km,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_nan
16048519433,Ride,1.7769972858082965,0.7096485392638392,1.944372567639824,2.785775387392233,3.8356505908427585,3.721847421029182,-0.020898050800024822,3.54327260030796,0.6059370442371003,0.12395295374652547,-0.1270001270001905,0.10015520770154689,-0.12700012700019006,4.504998109099703,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16051506702,Ride,0.3693216379105034,-0.19133224877035368,0.9229653654267083,2.1480643691047234,1.1533092964130751,1.3073792850964907,-1.5622567244408803,-0.6463596958332531,-0.28933783876860913,0.12395295374652547,-0.1270001270001905,-0.1597778147316287,-0.12700012700019006,0.7353210457955375,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16055901411,Walk,0.2212132351342866,-0.5300591342100157,-0.6801704420203675,-0.5310491043027028,-0.5490561079432962,-0.5453348144990734,0.19746109463242967,-0.2687227711810691,-0.07008684701210884,0.6245321900305708,-0.1270001270001905,-0.6076180836774571,-0.12700012700019006,-0.49126250168271146,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16075755200,Ride,3.2411105590856892,0.03563112809187398,0.9567867959635665,1.2833064124088633,0.9862607061728619,1.1639392780677758,-0.6695531592905515,1.4555816772307908,0.5267630749916972,0.023837106489716414,-0.1270001270001905,-0.4920567276449738,-0.12700012700019006,0.9069892476080355,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16089881911,Ride,0.9713349349507509,1.6155384125942591,0.9500225098561947,-0.021001489106008873,2.398522642745657,2.4915492109635053,-0.952135582791375,1.4555816772307908,1.0139875011172532,0.12395295374652547,-0.1270001270001905,-0.16650022048421087,-0.12700012700019006,1.538374759846442,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16092930084,Walk,-0.5067711380075348,-0.4819500983069913,-1.1401418973216382,-0.66699446866998,-0.5847611501320441,-0.6078923506041077,2.053513830808293,0.9924420526573574,-0.8191944021801514,0.22406880100333454,-0.1270001270001905,-0.26733630677294273,-0.12700012700019006,-0.48595137828781776,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16095755280,Walk,-0.43781175086221297,-0.5518227456899554,-0.6649507982787812,-0.5754888965178603,-0.6338555831415724,-0.6388551715045794,0.1653494555982452,-1.3517569701835594,-1.1724321111211795,0.3241846482601436,-0.1270001270001905,-0.5832893771443026,-0.12700012700019006,-0.5010966237927577,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16098264675,Walk,-0.3713638918647436,-0.5503500201010872,-0.9686672444997673,-0.5987187879030563,-0.5490561079432962,-0.5459667088031646,-0.11081064009574139,-0.033590346397633634,0.03953864886614132,-0.27651043528071073,-0.1270001270001905,-0.5973744177687604,-0.12700012700019006,-0.5012535512732371,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16098480370,Workout,-0.45786809707149234,-0.5776772615834175,-1.3363061944354153,0.9924277724551054,-0.6338555831415724,-0.6388551715045794,2.1498487479108466,0.6860573779395476,-1.7753723384515552,0.12395295374652547,-0.1270001270001905,-0.6143404894300392,-0.12700012700019006,-0.5098496899261676,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16102977017,Ride,-0.3600620151994073,-0.03980514929348072,1.6027761192175567,1.563075104308832,1.1188794343024968,1.300428447751487,-0.7016647983247359,1.4555816772307908,1.1845160502611982,0.023837106489716414,-0.1270001270001905,2.106313153007841,-0.12700012700019006,0.8915894308569844,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16109929452,Walk,0.9490182134084043,-0.07367783783744691,1.200301095828945,1.3010823292949265,1.2055916796180273,1.0091251735654179,-1.0998491223486238,0.8855636777557958,1.2697803248331705,0.22406880100333454,-0.1270001270001905,-0.3544074669968636,-0.12700012700019006,0.6639818131695747,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16112607346,Walk,-0.39920597533236574,-0.5078046142004534,-0.8833526859705427,-0.6777004186127226,-0.6338555831415724,-0.6388551715045794,0.7690482694409135,-0.8387407706560639,-1.7205595905124302,0.12395295374652547,-0.1270001270001905,-0.5733658257952529,-0.12700012700019006,-0.4932851225422245,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16123509909,Workout,-0.4304565612863592,-0.5778408977599584,-1.4090222700896604,-0.9063633494652601,-0.6338555831415724,-0.6388551715045794,2.201227370365542,0.7430591778870471,-1.7753723384515552,0.12395295374652547,-0.1270001270001905,-0.615941062228273,-0.12700012700019006,-0.5101774939965025,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16124462984,Walk,-0.5171401613608116,-0.5478954774529738,-1.0771494829467398,-0.6768924223906286,-0.6338555831415724,-0.6388551715045794,2.008557536160435,0.7430591778870471,-0.5573112731376649,0.12395295374652547,-0.1270001270001905,-0.4254728992384461,-0.12700012700019006,-0.5029309316756954,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16141488518,Ride,-0.47390599824420765,-0.3662593214925753,0.659158207239215,1.5452991874227693,-0.0491855173008261,-0.04866589148334571,-0.7016647983247359,-0.38272637107606794,-0.5146791358516788,0.12395295374652547,-0.1270001270001905,2.6168958756444365,-0.12700012700019006,0.03709140142756881,0.0,0.0,0.0,0.0,0.0,1.0,0.0
