Activity ID,Activity Type,Elapsed Time,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Heart Rate,Average Watts,Calories,Average Elapsed Speed,Hour_of_Day,Month,Distance_km,Average Watts_Recorded,Calories_Recorded,Average Heart Rate_Recorded,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday
14119779298,Walk,0.40196034395784014,0.7518242505639872,-0.5226302080845343,-1.6473551829607318,-0.2681239834924955,-0.29697557545612174,-1.5228534195870598,-1.2337702245772784,1.8566307088437644,0.020031953693532906,-0.3427574862058091,-1.236349960316633,-0.7050282416501834,-1.4243816085361,-0.2662007879868161,-2.9927339718333767,-0.4745591778822711,-1.2597446256043845,-1.329451714228507,-0.3502020979862374,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14246117323,Walk,0.1559589883434662,0.30614579696043165,0.3690865025620906,-1.7138595943402801,-0.4665225326389575,-0.496577203020101,-1.2181268640771052,-1.3538465499489107,0.8558057745491541,0.020031953693532906,-0.3427574862058091,-1.236349960316633,-0.7050282416501834,-1.735146794720355,0.10648031519472685,-2.9927339718333767,-0.5930228727076099,-1.2597446256043845,-1.329451714228507,-0.3502020979862374,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15797976654,Run,-0.496963684794877,-0.5897398213711627,-1.0471694496413724,-1.3706639899371789,-0.6620034560626773,-0.6932435125316688,-1.1187595090195115,-1.6020042890502844,-0.9998904577887682,0.020031953693532906,-0.3427574862058091,-1.236349960316633,-0.7050282416501834,0.4570076267415498,-0.6388818911683591,0.17010210852338964,-0.707345021082973,-1.2597446256043845,-1.329451714228507,-0.3502020979862374,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15798912271,Walk,-0.13566400595661776,-0.29270965055946846,-0.11711141824285494,-1.5726403504232147,-0.4796518483912969,-0.496577203020101,-1.1883166575598272,-1.4258923451718901,0.5499981557369124,0.020031953693532906,-0.3427574862058091,-1.236349960316633,-0.7050282416501834,-1.6847524402039893,-0.6388818911683591,0.17010210852338964,-0.6627589535955805,-1.2597446256043845,-1.329451714228507,-0.3502020979862374,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15821084822,Walk,-0.2165979779626955,-0.8017900599057892,-0.33529476467137787,-1.1736138821459243,-0.5518630850291636,-0.6205943907344851,-1.7745840523996308,-1.5539737589016316,1.7593282846762324,3.725986797523397,-0.3427574862058091,-1.236349960316633,-0.7050282416501834,-2.829124240679792,-0.45254133957758763,0.17010210852338964,-0.7664866480854252,-1.2597446256043845,-1.329451714228507,-0.3502020979862374,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15823172080,Run,-0.5310910404870445,-0.6443507496369898,-1.0047067491343902,-1.176898050609112,-0.6620034560626773,-0.6932435125316688,-1.1187595090195115,-1.6340246424827198,-1.375199808149247,0.020031953693532906,-0.3427574862058091,-1.236349960316633,-0.7050282416501834,1.7210660191937206,0.29282086678549835,0.17010210852338964,-0.7065588146510794,-1.2597446256043845,-1.329451714228507,-0.3502020979862374,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15832184034,Run,-0.5306170494357644,-0.6459491182691603,-0.907292318559549,-1.1567825187720882,-0.6620034560626773,-0.6932435125316688,-1.1187595090195115,-1.6340246424827198,-1.396050327613718,0.020031953693532906,-0.3427574862058091,-1.236349960316633,-0.7050282416501834,1.7651610793955412,-0.45254133957758763,0.17010210852338964,-0.7053644682682026,-1.2597446256043845,-1.329451714228507,-0.3502020979862374,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15844261463,Run,-0.4938827429615563,-0.5681618448368602,-0.7624195756533746,-1.249560277857137,-0.6620034560626773,-0.6932435125316688,-1.1253839993566845,-1.6233511913385748,-1.326548596065481,0.020031953693532906,-0.3427574862058091,-1.236349960316633,-0.7050282416501834,1.2507187103743087,-0.2662007879868161,0.17010210852338964,-0.6862377413021329,-1.2597446256043845,-1.329451714228507,-0.3502020979862374,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15899665961,Run,-0.4021654745388562,-0.4925057295807874,-0.9572484368030573,-1.2815809203732158,-0.6620034560626773,-0.6932435125316688,-1.0326411346362636,-1.5646472100457767,-1.396050327613718,0.020031953693532906,-0.3427574862058091,-1.236349960316633,-0.7050282416501834,0.032855142895472596,-0.45254133957758763,0.17010210852338964,-0.6643141816193264,-1.2597446256043845,-1.329451714228507,-0.3502020979862374,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15911397843,Run,-0.3980180528401553,-0.5055590734101802,-0.9572484368030573,-1.2524339252624261,-0.6620034560626773,-0.6932435125316688,-1.122071754188098,-1.6233511913385748,-1.3126482497558336,0.020031953693532906,-0.3427574862058091,-1.236349960316633,-0.7050282416501834,-0.030137800249984487,-0.45254133957758763,0.17010210852338964,-0.6645633617999266,-1.2597446256043845,-1.329451714228507,-0.3502020979862374,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15925116156,Walk,-0.3814283660453517,-0.45734161967303527,-0.3731365242408353,-1.622723919486825,-0.6620034560626773,-0.6932435125316688,-1.0889493025022334,-1.6020042890502844,-0.9998904577887682,0.020031953693532906,-0.3427574862058091,-1.236349960316633,-0.7050282416501834,-1.2417020734142745,0.29282086678549835,0.17010210852338964,-0.7081613009849393,-1.2597446256043845,-1.329451714228507,-0.3502020979862374,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15956143900,Run,-0.4718421590770315,-0.5329977349291081,-0.9422616013300048,-1.1826453454196901,-0.6437682952955393,-0.6726962861647886,-1.1551942058739626,-1.6020042890502844,-1.1666946135045364,0.020031953693532906,-0.3427574862058091,-1.236349960316633,-0.7050282416501834,1.4082010682379507,-0.07986023639604464,0.17010210852338964,-0.6648683927106614,-1.2597446256043845,-1.329451714228507,-0.3502020979862374,0.0,0.0,1.0,0.0,0.0,0.0,0.0
