Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
15832184034,"Sep 16, 2025, 3:46:33 PM",2km (3) with co-cap,Run,"",870,2.06,,,false,,,activities/15832184034.gpx,,,870.0,854.0,2060.9,4.68,2.413,0.0,0.0,1.2,2.0,1.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.369,0.0,,,,1948.0,0.0,,,,2.413,,,,,,,,media/542F806D-16CB-4184-80D1-8B9C1BA2ADF2.jpg
15844261463,"Sep 17, 2025, 4:09:57 PM",jog 2km 😛,Run,"",1180,2.50,,,false,,,activities/15844261463.gpx,,,1180.0,1146.0,2506.1,5.84,2.187,0.0,0.0,1.0,2.4,2.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2508.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.124,0.0,,,,2360.0,0.0,,,,2.189,,,,,,,,media/099990D5-F27B-4E57-A875-5BA9A512156D.jpg|media/42F93D2E-A174-4A92-B285-0963E19C0CFE.jpg
15899665961,"Sep 22, 2025, 3:25:41 PM",pp jog 3km,Run,warm up for 6km????,1954,3.01,,,false,,,activities/15899665961.gpx,,,1954.0,1430.0,3016.4,4.28,2.109,0.0,0.0,3.8,4.6,1.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3017.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.544,3008.5,,,,3084.0,0.0,,,,2.11,,,,,,,,media/A4D8D7DE-05D0-4E77-A327-449CAD42BE51.jpg|media/EFA6F464-83FA-4B26-AB9D-8955F521BE96.jpg|media/4D3B9A80-507A-4EC0-AA75-88F468BF6C13.jpg|media/B18B4541-66AF-48E4-B80E-87A14D7EA47E.jpg
15911397843,"Sep 23, 2025, 3:56:11 PM",hindi ko na kaya,Run,"",1989,3.01,,,false,,,activities/15911397843.gpx,,,1989.0,1381.0,3010.6,4.28,2.18,0.0,0.0,1.1,2.4,2.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3014.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1.514,0.0,,,,2952.0,0.0,,,,2.183,,,,,,,,media/F8A861EF-BE2C-4274-A69C-4FBF7C4DBE1E.jpg
15925116156,"Sep 24, 2025, 7:16:35 PM",want to record something,Walk,"",2129,1.99,,,false,,,activities/15925116156.gpx,,,2129.0,1562.0,1995.8,8.957,1.278,0.0,0.0,2.1,3.2,7.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937,0.0,,,,2532.0,0.0,,,,,,,,,,,,media/B7934B15-7CBC-4AAB-A83B-65B95F5A4659.jpg|media/830A641F-6AF9-42A4-B2A3-A07AC723EF24.jpg
15956143900,"Sep 27, 2025, 5:06:34 PM",otw to al khan 😋😋 3km done 😚,Run,"",1366,3.00,,,false,,,activities/15956143900.gpx,,,1366.0,1278.0,3003.5,4.4,2.35,2.5,2.8,0.1,3.2,4.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3005.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.199,0.0,,,,2878.0,0.0,,,,2.352,,,,,,,,media/4FAB9471-D1CE-47FF-BFBD-6E9E72468D59.jpg|media/ED365259-BE41-4B9B-A999-7DE5A996F880.jpg
16010788442,"Oct 2, 2025, 3:37:49 PM",warm up 😋,Run,"",294,0.60,,,false,,,activities/16010788442.gpx,,,294.0,280.0,600.7,4.88,2.145,17.1,17.3,-2.9,2.9,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,727.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.043,0.0,,,,586.0,0.0,,,,2.598,,,0.0,,,,,media/E03B6B08-D42A-4FF6-B09C-451148C04973.mp4|media/A4C9C1D7-0702-478B-B5E4-15889A0EFD47.mp4
16022326257,"Oct 3, 2025, 5:06:23 PM",Night Run,Run,"",916,2.17,,,false,,,activities/16022326257.gpx,,,916.0,909.0,2169.6,3.98,2.387,0.0,0.0,1.2,3.2,14.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2175.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.369,0.0,,,,2030.0,0.0,,,,2.393,,,,,,,,media/185331A0-8240-4ECC-AF9B-C65043AA1BBB.jpg|media/F905D6C7-440E-4B51-8585-EB050E17C199.jpg
16065529990,"Oct 7, 2025, 5:08:36 PM",night jog with mama,Run,"",884,2.01,,,false,,,activities/16065529990.gpx,,,884.0,845.0,2011.3,4.16,2.38,0.0,0.0,0.0,0.9,1.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2012.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.275,0.0,,,,1806.0,0.0,,,,2.382,,,0.0,,,,,media/1443BDDA-EE13-4B78-A264-AA0F5724C26E.jpg|media/004219D3-FFF9-482B-9947-304B1CD0D8FD.jpg|media/3FB2A9E3-1492-4A68-BC84-E30A4B6A6E1D.jpg
16078214431,"Oct 8, 2025, 6:18:13 PM",Night Walk,Walk,"",2664,2.90,,,false,,,activities/16078214431.gpx,,,2664.0,2051.0,2907.9,10.34,1.418,39.2,38.5,0.9,39.7,49.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.092,0.0,,,,4100.0,0.0,,,,,,,,,,,,media/D54856A5-8C5E-4F0A-8A20-81F8115E5356.jpg
16150337536,"Oct 15, 2025, 3:51:01 PM",1km done with raphnee and rhianneee,Run,"",538,1.03,,,false,,,activities/16150337536.gpx,,,538.0,533.0,1036.0,3.7,1.944,0.0,0.0,1.2,3.2,10.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1041.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.926,0.0,,,,1020.0,0.0,,,,1.953,,,,,,,,media/5251B8E8-BE34-4246-8D87-64317AE5061F.jpg|media/C384D1AA-AE65-4BA6-ABD7-84CF22FA6083.jpg
